Shelter No,Address,Full_Address,Geolocation,Active?,Label,Shelter Type,Area (Sqm),Capacity (People),Operator,All Data,Community Notes,Latitude,Longitude
678,3 Nachshon St.,"3 Nachshon St., Jerusalem, Israel","31.7652249, 35.2261714",Yes, 3 Nachshon St. (Most Protected),Most Protected,40​,32.0,"Emergency and Security Division, Jerusalem Municipality","Address: 3 Nachshon St.
Shelter No: 678
Active?: Yes
Shelter Type: Most Protected
Area: 40​
Capacity: 32.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7652249,35.2261714
681,8 Efrayim St.,"8 Efrayim St., Jerusalem, Israel","31.7593928, 35.2189683",Yes, 8 Efrayim St. (Normal),Normal,100,80.0,"Emergency and Security Division, Jerusalem Municipality","Address: 8 Efrayim St.
Shelter No: 681
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7593928,35.2189683
682,14 Reuven St.,"14 Reuven St., Jerusalem, Israel","31.7593263, 35.2188286",No ⚠️,INACTIVE! 14 Reuven St. (Normal),Normal,135,108.0,"Emergency and Security Division, Jerusalem Municipality","Address: 14 Reuven St.
Shelter No: 682
Active?: No ⚠️
Shelter Type: Normal
Area: 135
Capacity: 108.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7593263,35.2188286
683,54 Hebron Rd.,"54 Hebron Rd., Jerusalem, Israel","31.7598214, 35.22352619999999",Yes, 54 Hebron Rd. (Normal),Normal,170,136.0,"Emergency and Security Division, Jerusalem Municipality","Address: 54 Hebron Rd.
Shelter No: 683
Active?: Yes
Shelter Type: Normal
Area: 170
Capacity: 136.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7598214,35.22352619999999
684,6 Esther HaMalka St.,"6 Esther HaMalka St., Jerusalem, Israel","31.7591133, 35.2229651",Yes, 6 Esther HaMalka St. (Normal),Normal,295,236.0,"Emergency and Security Division, Jerusalem Municipality","Address: 6 Esther HaMalka St.
Shelter No: 684
Active?: Yes
Shelter Type: Normal
Area: 295
Capacity: 236.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7591133,35.2229651
685,6 Mordechai HaYehudi St.,"6 Mordechai HaYehudi St., Jerusalem, Israel","31.8117365, 35.22046",No ⚠️,INACTIVE! 6 Mordechai HaYehudi St. (Normal),Normal,200,160.0,"Emergency and Security Division, Jerusalem Municipality","Address: 6 Mordechai HaYehudi St.
Shelter No: 685
Active?: No ⚠️
Shelter Type: Normal
Area: 200
Capacity: 160.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.8117365,35.22046
823,13 Shimshon St.,"13 Shimshon St., Jerusalem, Israel","31.7607049, 35.2200216",No ⚠️,INACTIVE! 13 Shimshon St. (Normal),Normal,130,104.0,"Emergency and Security Division, Jerusalem Municipality","Address: 13 Shimshon St.
Shelter No: 823
Active?: No ⚠️
Shelter Type: Normal
Area: 130
Capacity: 104.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7607049,35.2200216
836,27 Menashe St.,"27 Menashe St., Jerusalem, Israel","31.7594673, 35.2199033",Yes, 27 Menashe St. (Normal),Normal,100,80.0,"Emergency and Security Division, Jerusalem Municipality","Address: 27 Menashe St.
Shelter No: 836
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7594673,35.2199033
980,22 ​Rivka St.,"22 ​Rivka St., Jerusalem, Israel","31.755074, 35.220905",Yes, 22 ​Rivka St. (Normal),Normal,100,80.0,"Emergency and Security Division, Jerusalem Municipality","Address: 22 ​Rivka St.
Shelter No: 980
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.755074,35.220905
984,11 Ya'el St.,"11 Ya'el St., Jerusalem, Israel","31.7617068, 35.2212796",Yes, 11 Ya'el St. (Normal),Normal,160,128.0,"Emergency and Security Division, Jerusalem Municipality","Address: 11 Ya'el St.
Shelter No: 984
Active?: Yes
Shelter Type: Normal
Area: 160
Capacity: 128.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7617068,35.2212796
988,5 Kibbutz Galuyot St.,"5 Kibbutz Galuyot St., Jerusalem, Israel","31.755663, 35.2192529",No,⚠️5 Kibbutz Galuyot St. (Normal) ,Normal,140,112.0,"Society Division, Jerusalem Municipality","Address: 5 Kibbutz Galuyot St.
Shelter No: 988
Active?: No
Shelter Type: Normal
Area: 140
Capacity: 112.0
Operator: Society Division, Jerusalem Municipality",,31.755663,35.2192529
995,3 Levi St.,"3 Levi St., Jerusalem, Israel","31.7573404, 35.220897",Yes, 3 Levi St. (Normal),Normal,100,80.0,Baka Community Administration,"Address: 3 Levi St.
Shelter No: 995
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Baka Community Administration",,31.7573404,35.220897
742,7 Sha'arei Tora St.,"7 Sha'arei Tora St., Jerusalem, Israel","31.7658063, 35.18298",Yes, 7 Sha'arei Tora St. (Normal),Normal,270,216.0,"Emergency and Security Division, Jerusalem Municipality","Address: 7 Sha'arei Tora St.
Shelter No: 742
Active?: Yes
Shelter Type: Normal
Area: 270
Capacity: 216.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7658063,35.18298
743,39 Bayit VaGan St.,"39 Bayit VaGan St., Jerusalem, Israel","31.7691802, 35.1845249",Yes, 39 Bayit VaGan St. (Normal),Normal,115,92.0,"Emergency and Security Division, Jerusalem Municipality","Address: 39 Bayit VaGan St.
Shelter No: 743
Active?: Yes
Shelter Type: Normal
Area: 115
Capacity: 92.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7691802,35.1845249
744,Ha-Banai St 4,"Ha-Banai St 4, Jerusalem, Israel","31.7750135, 35.1904157",No ⚠️,INACTIVE! Ha-Banai St 4 (Normal),Normal,170,136.0,"Emergency and Security Division, Jerusalem Municipality","Address: Ha-Banai St 4
Shelter No: 744
Active?: No ⚠️
Shelter Type: Normal
Area: 170
Capacity: 136.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7750135,35.1904157
745,Ha-Banai St 30,"Ha-Banai St 30, Jerusalem, Israel","31.7774853, 35.1922716",No ⚠️,INACTIVE! Ha-Banai St 30 (Normal),Normal,170​,136.0,"Emergency and Security Division, Jerusalem Municipality","Address: Ha-Banai St 30
Shelter No: 745
Active?: No ⚠️
Shelter Type: Normal
Area: 170​
Capacity: 136.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7774853,35.1922716
613,14 Shimshon Polanski St.,"14 Shimshon Polanski St., Jerusalem, Israel","31.7923274, 35.222439",Yes, 14 Shimshon Polanski St. (Normal),Normal,280,224.0,"""Yad Eliezer"" association","Address: 14 Shimshon Polanski St.
Shelter No: 613
Active?: Yes
Shelter Type: Normal
Area: 280
Capacity: 224.0
Operator: ""Yad Eliezer"" association",,31.7923274,35.222439
619,4 Yosef Karo St.,"4 Yosef Karo St., Jerusalem, Israel","31.7908366, 35.2241123",No ⚠️,INACTIVE! 4 Yosef Karo St. (Normal),Normal,80,64.0,"Emergency and Security Division, Jerusalem Municipality","Address: 4 Yosef Karo St.
Shelter No: 619
Active?: No ⚠️
Shelter Type: Normal
Area: 80
Capacity: 64.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.7908366,35.2241123
625,22 Sha'arei Shamayim St.,"22 Sha'arei Shamayim St., Jerusalem, Israel","31.788586, 35.2238283",Yes, 22 Sha'arei Shamayim St. (Normal),Normal,40,32.0,"Emergency and Security Division, Jerusalem Municipality","Address: 22 Sha'arei Shamayim St.
Shelter No: 625
Active?: Yes
Shelter Type: Normal
Area: 40
Capacity: 32.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.788586,35.2238283
626,22 Baruch Rapaport St.,"22 Baruch Rapaport St., Jerusalem, Israel","31.7892754, 35.2237141",Yes, 22 Baruch Rapaport St. (Most Protected),Most Protected,100,80.0,Eshkolot Community Administration,"Address: 22 Baruch Rapaport St.
Shelter No: 626
Active?: Yes
Shelter Type: Most Protected
Area: 100
Capacity: 80.0
Operator: Eshkolot Community Administration",,31.7892754,35.2237141
628,8 Amelim St.,"8 Amelim St., Jerusalem, Israel","31.788024, 35.22416860000001",Yes, 8 Amelim St. (Most Protected),Most Protected,40,32.0,"Public library - ""Mosdei Olam"" organization","Address: 8 Amelim St.
Shelter No: 628
Active?: Yes
Shelter Type: Most Protected
Area: 40
Capacity: 32.0
Operator: Public library - ""Mosdei Olam"" organization",,31.788024,35.22416860000001
841,25 Yoel St.,"25 Yoel St., Jerusalem, Israel","31.7910905, 35.2213935",Yes, 25 Yoel St. (Normal),Normal,100,80.0,"""Mosiyof"" synagogue","Address: 25 Yoel St.
Shelter No: 841
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: ""Mosiyof"" synagogue",,31.7910905,35.2213935
908,22 Shimshon Polanski St.,"22 Shimshon Polanski St., Jerusalem, Israel","31.79186859999999, 35.2232357",Yes, 22 Shimshon Polanski St. (Normal),Normal,100,80.0,Bucharim Community Administration,"Address: 22 Shimshon Polanski St.
Shelter No: 908
Active?: Yes
Shelter Type: Normal
Area: 100
Capacity: 80.0
Operator: Bucharim Community Administration",,31.79186859999999,35.2232357
608,44 Adoniyahu HaCohen St.,"44 Adoniyahu HaCohen St., Jerusalem, Israel","31.793713, 35.217219",Yes, 44 Adoniyahu HaCohen St. (Most Protected),Most Protected,400,320.0,"Emergency and Security Division, Jerusalem Municipality","Address: 44 Adoniyahu HaCohen St.
Shelter No: 608
Active?: Yes
Shelter Type: Most Protected
Area: 400
Capacity: 320.0
Operator: Emergency and Security Division, Jerusalem Municipality",,31.793713,35.217219
